,Date,Open,High,Low,Close,Adj Close,Volume
0,2006-12-01,13.114285,13.19,12.871428,91.32,13.045714,198769900
1,2006-12-04,13.125714000000002,13.15,12.928572,91.120003,13.017143,177384200
2,2006-12-05,13.092857,13.19,12.981428,91.269997,13.038571,165709600
3,2006-12-06,12.948571,13.055715,12.81,89.83000200000001,12.832857,159546100
4,2006-12-07,12.861428,12.928572,12.414286,87.040001,12.434286,251206900
5,2006-12-08,12.461429,12.77,12.428572,88.25999499999999,12.608571,196069300
6,2006-12-11,12.7,12.757143,12.578571,88.75,12.678572,124945100
7,2006-12-12,12.658571,12.691428,12.218572,86.139999,12.305715,256655000
8,2006-12-13,12.564285,12.724286,12.45,89.050003,12.721429,214263000
9,2006-12-14,12.721429,12.857142,12.608571,88.549995,12.65,208082700
10,2006-12-15,12.717143,12.745714,12.475715,87.720001,12.531428,184984800
11,2006-12-18,12.518572,12.571428,12.084286,85.470001,12.21,180394200
12,2006-12-19,12.104285,12.382857,11.945714,86.309998,12.33,227851400
13,2006-12-20,12.352858,12.381429,12.105714,84.75999499999999,12.108571,141922900
14,2006-12-21,12.1,12.211429,11.742857,82.900002,11.842857,225899800
15,2006-12-22,11.922857,12.005714,11.657143,82.199997,11.742857,153325900
16,2006-12-26,11.735714,11.795714,11.555715,81.510002,11.644286,122672200
17,2006-12-27,11.164286,11.714286,10.967143,81.520004,11.645715,483938700
18,2006-12-28,11.46,11.607142,11.378572,80.870003,11.552857,279969200
19,2006-12-29,11.992857,12.2,11.908571,84.839996,12.12,269107300
20,2007-01-03,12.327143,12.368571,11.7,83.800003,11.971429,309579900
21,2007-01-04,12.007143,12.278571,11.974286,85.65999599999999,12.237143,211815100
22,2007-01-05,12.252857,12.314285,12.057143,85.049995,12.15,208685400
23,2007-01-08,12.28,12.361428,12.182858,85.470001,12.21,199276700
24,2007-01-09,12.35,13.282857,12.164286,92.57,13.224286,837324600
25,2007-01-10,13.535714000000002,13.971429,13.35,97.0,13.857142,738220000
26,2007-01-11,13.705714000000002,13.825714,13.585714,95.800003,13.685715,360063200
27,2007-01-12,13.512857,13.58,13.318571,94.620003,13.517143,328172600
28,2007-01-16,13.668571,13.892858,13.635715,97.099998,13.871428,311019100
29,2007-01-17,13.937143,13.942857,13.545714000000002,94.949997,13.564285,411565000
30,2007-01-18,13.157143,13.158570999999998,12.721429,89.07,12.724286,591151400
31,2007-01-19,12.661428,12.807143,12.588572,88.5,12.642858,341118400
32,2007-01-22,12.734285,12.737143,12.235714,86.78999300000001,12.398571,363506500
33,2007-01-23,12.247143,12.501429,12.215714,85.699997,12.242857,301856100
34,2007-01-24,12.382857,12.45,12.297143,86.700005,12.385715,231953400
35,2007-01-25,12.444285,12.642858,12.29,86.25,12.321428,226493400
36,2007-01-26,12.444285,12.481428,12.141429,85.379997,12.197143,246718500
37,2007-01-29,12.328571,12.378572,12.218572,85.939995,12.277143,225416100
38,2007-01-30,12.347143,12.355714,12.178572,85.550003,12.221429,144492600
39,2007-01-31,12.122857000000002,12.285714,12.05,85.729996,12.247143,214017300
